"","power","time","gas.Air","gas.Argon","gas.Nitrogen","pressure","ratio"
"153",3527,1824,0,1,0,40,1.538457125
"154",3584,1131,1,0,0,20,0.57836145
"155",3613,10766,0,1,0,600,2.093101526
"156",3617,16380,0,0,1,740,1.321003072
"157",3706,10137,0,0,1,370,1.522617069
"158",3728,9350,0,1,0,870,2.089539008
"159",3777,9767,0,1,0,900,2.132647453
"160",3797,18821,1,0,0,800,0.12
"161",3805,19668,0,1,0,920,1.959362197
"162",3810,10110,0,1,0,910,3.537409645
"163",3812,10118,0,1,0,970,2.264059348
"164",3830,10217,0,1,0,910,2.996145204
"165",3907,9823,1,0,0,30,0.12
"166",396,9065,0,1,0,460,1.365235057
"167",3993,3615,0,1,0,860,2.662923334
"168",4022,2321,0,1,0,900,3.341319333
"169",4033,3055,0,1,0,880,3.371732725
"170",4046,2524,0,1,0,880,3.334058141
"171",4060,9988,0,1,0,270,1.32755134
"172",4068,10089,0,1,0,910,2.894545384
"173",4079,3055,0,1,0,850,2.338842087
"174",4139,1957,0,1,0,900,3.134584619
"175",429,4810,0,0,1,630,0.869027237
"176",4297,9256,0,0,1,110,1.685642824
"177",4326,3961,0,1,0,250,1.416376543
"178",4431,3854,0,1,0,270,2.190961
"179",4506,8046,0,0,1,110,1.458586461
"180",4564,18002,1,0,0,50,0.12
"181",4585,14485,0,0,1,100,1.174840469
"182",4717,1457,0,1,0,640,2.323310757
"183",4834,5615,1,0,0,170,0.12
"184",4886,11627,0,0,1,680,1.340241441
"185",489,15493,0,1,0,460,1.236779697
"186",4909,1710,0,1,0,960,2.765735333
"187",4962,15074,0,1,0,360,1.323049628
"188",4963,2336,0,1,0,960,3.364084792
"189",5028,2371,0,1,0,960,2.58479023
"190",5041,9305,0,1,0,1000,2.249307903
"191",5069,2735,0,0,1,480,1.419028259
"192",5153,19318,1,0,0,780,0.12
"193",5239,14517,0,0,1,230,1.19774686
"194",5309,2566,0,1,0,960,2.705688601
"195",5321,16727,1,0,0,510,0.12
"196",5332,6770,1,0,0,630,0.12
