"","power","time","gasAir","gasArgon","gasNitrogen","pressure","ratio"
"137",282,3638,0,0,1,5,5.82687194361119
"138",269,3669,0,0,1,7,3.95344257690877
"139",121,3049,0,0,1,6,1.04639000928211
"140",178,2766,0,0,1,5,2.1379919078183
"141",212,3014,0,0,1,6,3.8295514283351
"142",242,4974,0,0,1,44,1.104717027
"143",429,4810,0,0,1,63,1.184402256
"144",1108,9828,0,0,1,82,1.315185066
"145",1316,10972,0,0,1,20,1.404411739
"146",933,7024,0,0,1,94,1.147012832
"147",2068,15492,0,0,1,31,1.381856452
"148",3706,10137,0,0,1,37,1.289499341
"149",4297,9256,0,0,1,11,1.244286288
"150",4886,11627,0,0,1,68,1.407561406
"151",5480,12267,0,0,1,18,1.50383908
"152",396,9065,0,1,0,46,2.393939752
"153",489,15493,0,1,0,46,1.901521129
"154",1703,10481,0,1,0,96,1.592857066
"155",4139,1957,0,1,0,90,1.568918817
"156",4962,15074,0,1,0,36,1.456950104
"157",1843,16852,1,0,0,81,0
"158",83,8031,1,0,0,61,0
"159",1286,18227,1,0,0,92,0
"160",3907,9823,1,0,0,3,0
"161",5332,6770,1,0,0,63,0
"162",328,8610,0,1,0,53,1.882627369
"163",364,9083,0,1,0,48,1.335091618
"164",389,8881,0,1,0,46,1.164471532
"165",409,8976,0,1,0,46,1.201445706
"166",397,9027,0,1,0,46,1.128274053
"167",395,9748,0,1,0,46,1.725747433
"168",10,9055,0,1,0,58,1.046819601
"169",768,16287,0,1,0,46,1.655609004
"170",396,16591,0,1,0,55,1.184117054
"171",396,9066,0,1,0,46,1.210509431
"172",1950,16827,0,1,0,46,1.360426933
"173",4001,9788,0,1,0,1,1.389450561
"174",286,8454,0,1,0,54,2.340876948
"175",280,8268,0,1,0,54,2.749177651
"176",262,8235,0,1,0,10,4.700431073
"177",260,8138,0,1,0,7,5.827014653
"178",252,8125,0,1,0,6,3.683281061
"179",271,8234,0,1,0,6,5.144606243
"180",275,2045,0,1,0,7,2.890333769
"181",258,8132,0,1,0,10,3.644787806
"182",272,8216,0,1,0,5,3.59194861
"183",260,8140,0,1,0,7,5.006442303
"184",222,8136,0,1,0,7,5.689905919
"185",156,8135,0,1,0,8,3.155254963
"186",193,8136,0,1,0,8,1.430774868
"187",217,8136,0,1,0,7,1.238117827
"188",222,8137,0,1,0,7,2.60632477
"189",229,8136,0,1,0,7,1.675877567
"190",271,8138,0,1,0,7,2.824218133
"191",1859,8249,0,1,0,10,2.104164528
"192",3863,15582,1,0,0,4,0
"193",266,8242,0,1,0,15,1.447929942
"194",233,7037,0,1,0,7,3.136030782
"195",265,8240,0,1,0,13,1.23434272
"196",2849,8238,0,1,0,5,2.859034413
"197",224,6902,0,1,0,7,2.154919947
"198",220,8136,0,1,0,7,3.328817164
"199",2503,8231,0,1,0,11,2.296709991
"200",210,8237,1,0,0,6,1.15003393045993
"201",263,8236,0,1,0,6,4.10777287466367
"202",260,8139,0,1,0,8,2.02089799223481
"203",223,8237,0,1,0,6,2.70182536156955
"204",3198,7863,0,0,1,5,3.18326308376355
"205",3431,7578,0,0,1,5,3.35013163982677
"206",3669,8235,0,1,0,7,3.2899697857953
"207",260,8138,0,1,0,7,2.62374983111202
"208",260,8138,0,1,0,7,4.14661440335903
"209",3565,7309,0,0,1,6,2.54168226685191
"210",3787,8186,0,0,1,3,1.91543572207213
"211",263,3029,0,1,0,10,1.48581745430169
